auction_house_name,auction_location,auction_num,auction_start_date,auction_end_date,auction_name,lot_num,sublot_num,price_kind,price_estimate_min,price_estimate_max,price_sold,artist_name,artist_birth,artist_death,artist_nationality,artwork_name,artwork_year_identifier,artwork_start_year,artwork_end_year,artwork_materials,artwork_category,artwork_markings,artwork_edition,artwork_description,artwork_measurements_height,artwork_measurements_width,artwork_measurements_depth,artwork_size_notes,auction_measureunit,artwork_condition_in,artwork_provenance,artwork_exhibited,artwork_literature,artwork_images1,artwork_images2,artwork_images3,artwork_images4,artwork_images5,image1_name,image2_name,image3_name,image4_name,image5_name,lot_origin_url
"Piasa","Paris","562","2022-11-30","","American Design","134","","price realized","30000","40000","0","Phillip Lloyd Powell","1919","2008","","","","","","","","","","<strong><br>Description<br></strong>Phillip Lloyd Powell (1919-2008)    24    Set of two sofas and a coffee table -  Unique piece  Walnut and fabric  Model created in 1979  H 76 × L 228,5 × W 89 cm (large model)  H 76 × L 137 × W 89 cm (small model)  H 33 × L 119,5 × W 95 cm (coffee table)","95 cm","","","95 cm","","","","","","https://www.piasa.fr/uploads/phillip-lloyd-powell-1919-2008-ensemble-de-deux-ca_544189_637f415f84dc56.99011140.jpg","https://www.piasa.fr/uploads/phillip-lloyd-powell-1919-2008-ensemble-de-deux-ca_431916_637f415f697342.27572799.jpg","https://www.piasa.fr/uploads/phillip-lloyd-powell-1919-2008-ensemble-de-deux-ca_455098_637f415f6f1c28.92137031.jpg","https://www.piasa.fr/uploads/phillip-lloyd-powell-1919-2008-ensemble-de-deux-ca_473321_637f415f738f10.33050962.jpg","https://www.piasa.fr/uploads/phillip-lloyd-powell-1919-2008-ensemble-de-deux-ca_496143_637f415f792167.85686605.jpg","562__Phillip_Lloyd_Powell__134_a.jpg","562__Phillip_Lloyd_Powell__134_b.jpg","562__Phillip_Lloyd_Powell__134_c.jpg","562__Phillip_Lloyd_Powell__134_d.jpg","562__Phillip_Lloyd_Powell__134_e.jpg","https://www.piasa.fr/en/products/phillip-lloyd-powell-1919-2008-ensemble-de-deux-canapes-et-une-table-basse_6364ed0f6075a3.98751224",
"Piasa","Paris","562","2022-11-30","","American Design","135","","price realized","12000","18000","19500","Wharton Esherick","1887","1970","","Hammer Handle - Unique piece","","",""," Cherrywood, oak wood and leather ","material_category","Signed and dated 'WE XXXll' ","","<strong><br>Description<br></strong>Wharton Esherick (1887-1970)  Hammer Handle - Unique piece  Chair  Cherrywood, oak wood and leather  Signed and dated 'WE XXXll'  Model created in 1932  H 91,5 × L 46 × W 46 cm","46 cm","","","46 cm","","","","","","https://www.piasa.fr/catalog/images/2040/135_1.jpg","https://www.piasa.fr/catalog/images/2040/135_2.jpg","https://www.piasa.fr/catalog/images/2040/135_3.jpg","","","562__Wharton_Esherick__135_a.jpg","562__Wharton_Esherick__135_b.jpg","562__Wharton_Esherick__135_c.jpg","","","https://www.piasa.fr/en/products/wharton-esherick-1887-1970-hammer-handle-piece-unique_6364ed0f6a6e32.54705124",
"Piasa","Paris","562","2022-11-30","","American Design","136","","price realized","10000","15000","18200","Wharton Esherick","1887","1970","","Wall shelf - Unique piece","","",""," Cherrywood ","material_category","","","<strong><br>Description<br></strong>Wharton Esherick (1887-1970)  Wall shelf - Unique piece  Cherrywood  Model created in 1960  H 16 × L 411,5 × W 23,5 cm","23,5 cm","","","23,5 cm","","","","","","https://www.piasa.fr/catalog/images/2040/136_1.jpg","https://www.piasa.fr/catalog/images/2040/136_2.jpg","https://www.piasa.fr/catalog/images/2040/136_3.jpg","","","562__Wharton_Esherick__136_a.jpg","562__Wharton_Esherick__136_b.jpg","562__Wharton_Esherick__136_c.jpg","","","https://www.piasa.fr/en/products/wharton-esherick-1887-1970-etagere-murale-piece-unique_6364ed0f717de5.49065928",
"Piasa","Paris","562","2022-11-30","","American Design","137","","price realized","6000","9000","11700","Phillip Lloyd Powell","1919","2008","","Coffee table or bench - Unique piece","","",""," Walnut and cherrywood ","material_category","","","<strong><br>Description<br></strong>Phillip Lloyd Powell (1919-2008)  Coffee table or bench - Unique piece  Walnut and cherrywood  Model created in the 1960s  H 40,5 × L 185,5 × W 68,5 cm","68,5 cm","","","68,5 cm","","","","","","https://www.piasa.fr/catalog/images/2040/137_1.jpg","https://www.piasa.fr/catalog/images/2040/137_2.jpg","","","","562__Phillip_Lloyd_Powell__137_a.jpg","562__Phillip_Lloyd_Powell__137_b.jpg","","","","https://www.piasa.fr/en/products/phillip-lloyd-powell-1919-2008-table-basse-ou-banc-piece-unique_6364ed0f781725.25208325",
"Piasa","Paris","562","2022-11-30","","American Design","138","","price realized","6000","9000","0","Arthur Espenet Carpenter","1920","2006","","Model Wishbone","","","","","","Signed 'Espenet' and dated '8305' ","","<strong><br>Description<br></strong>Arthur Espenet Carpenter (1920-2006)  Model Wishbone  Chair  Walnut and leather  Signed 'Espenet' and dated '8305'  Model created in 1983  H 78 x L 57 x P 52 cm  Bibliography : J. Lovine & T. Merrill,  'Modern Americana : Studio Furniture from  High Craft to High Glam', Ed. Rizzoli, 2008,  similar model p.73","52 cm","","","52 cm","","","","","","https://www.piasa.fr/catalog/images/2040/138_1.jpg","","","","","562__Arthur_Espenet_Carpenter__138_a.jpg","","","","","https://www.piasa.fr/en/products/arthur-espenet-carpenter-1920-2006-modele-wishbone_6364ed0f7e1af2.00806870",
"Piasa","Paris","562","2022-11-30","","American Design","139","","price realized","15000","20000","0","Wendell Castle","1932","2018","","Lectern - Unique piece","","","","","","Signed and dated 'WC 76' ","","<strong><br>Description<br></strong>Wendell Castle (1932-2018)  Lectern - Unique piece  Walnut  Model created in 1976  Signed and dated 'WC 76'  H 105,5 × L 61 × W 46 cm","46 cm","","","46 cm","","","","","","https://www.piasa.fr/catalog/images/2040/139_1.jpg","https://www.piasa.fr/catalog/images/2040/139_2.jpg","https://www.piasa.fr/catalog/images/2040/139_3.jpg","","","562__Wendell_Castle__139_a.jpg","562__Wendell_Castle__139_b.jpg","562__Wendell_Castle__139_c.jpg","","","https://www.piasa.fr/en/products/wendell-castle-1932-2018-lutrin-piece-unique_6364ed0f835092.46713095",
"Piasa","Paris","562","2022-11-30","","American Design","140","","price realized","8000","12000","18200","Phillip Lloyd Powell","1919","2008","","Side table - Unique piece","","","","","","","","<strong><br>Description<br></strong>Phillip Lloyd Powell (1919-2008)  Side table - Unique piece  Walnut  Model created in 1963  H 45,5 × L 76 × W 40,5 cm","40,5 cm","","","40,5 cm","","","","","","https://www.piasa.fr/catalog/images/2040/140_1.jpg","https://www.piasa.fr/catalog/images/2040/140_2.jpg","https://www.piasa.fr/catalog/images/2040/140_3.jpg","","","562__Phillip_Lloyd_Powell__140_a.jpg","562__Phillip_Lloyd_Powell__140_b.jpg","562__Phillip_Lloyd_Powell__140_c.jpg","","","https://www.piasa.fr/en/products/phillip-lloyd-powell-1919-2008-table-dappoint-piece-unique_6364ed0f8a4996.79490086",
"Piasa","Paris","562","2022-11-30","","American Design","141","","price realized","10000","15000","16900","","","","","","","","","","","Signed 'Jocko' ","","<strong><br>Description<br></strong>Robert 'Jocko' Johnson (20th c.)  Bench - Unique piece  Walnut    25    Model created in the 1970s  Signed 'Jocko'  H 53 × L 180 × W 58,5 cm","58,5 cm","","","58,5 cm","","","","","","https://www.piasa.fr/catalog/images/2040/141_1.jpg","https://www.piasa.fr/catalog/images/2040/141_2.jpg","https://www.piasa.fr/catalog/images/2040/141_3.jpg","https://www.piasa.fr/catalog/images/2040/141_4.jpg","","562____141_a.jpg","562____141_b.jpg","562____141_c.jpg","562____141_d.jpg","","https://www.piasa.fr/en/products/robert-jocko-johnson-xx-banc-piece-unique_6364ed0f92a3f5.31040450",
"Piasa","Paris","562","2022-11-30","","American Design","142","","price realized","30000","40000","0","Paul Evans","1931","1987","","Dining table - Unique piece","","",""," Enameled steel, plywood and slate ","material_category","Signed and dated 'Paul Evans 1967' ","","<strong><br>Description<br></strong>Paul Evans (1931-1987)  Dining table - Unique piece  Enameled steel, plywood and slate  Signed and dated 'Paul Evans 1967'  Model created in 1967  H 77,5 × L 207 × W 117 cm","117 cm","","","117 cm","","","","","","https://www.piasa.fr/uploads/paul-evans-1931-1987-table-de-salle-a-manger-piece_401570_637f4176620ab3.19302406.jpg","https://www.piasa.fr/uploads/paul-evans-1931-1987-table-de-salle-a-manger-piece_420765_637f417666ba51.84283366.jpg","https://www.piasa.fr/uploads/paul-evans-1931-1987-table-de-salle-a-manger-piece_439057_637f41766b3191.06971935.jpg","","","562__Paul_Evans__142_a.jpg","562__Paul_Evans__142_b.jpg","562__Paul_Evans__142_c.jpg","","","https://www.piasa.fr/en/products/paul-evans-1931-1987-table-de-salle-a-manger-piece-unique_6364ed0f9aa658.23875400",
"Piasa","Paris","562","2022-11-30","","American Design","143","","price realized","15000","20000","0","Paul Evans","1931","1987","","Hanging cabinet - Unique piece","","",""," Enameled steel, slate and plywood ","material_category","","","<strong><br>Description<br></strong>Paul Evans (1931-1987)  Hanging cabinet - Unique piece  Enameled steel, slate and plywood  Edited by Directional  Model created in 1965  H 44 × L 122 × W 41 cm  Bibliography: J. Head, 'Paul Evans, Designer &  Sculptor', Ed. Schiffer, Atglen, Pennsylvania, 2012,  similar model p. 79","41 cm","","","41 cm","","","","","","https://www.piasa.fr/catalog/images/2040/143_1.jpg","https://www.piasa.fr/catalog/images/2040/143_2.jpg","https://www.piasa.fr/catalog/images/2040/143_3.jpg","https://www.piasa.fr/catalog/images/2040/143_4.jpg","https://www.piasa.fr/catalog/images/2040/143_5.jpg","562__Paul_Evans__143_a.jpg","562__Paul_Evans__143_b.jpg","562__Paul_Evans__143_c.jpg","562__Paul_Evans__143_d.jpg","562__Paul_Evans__143_e.jpg","https://www.piasa.fr/en/products/paul-evans-1931-1987-cabinet-suspendu-piece-unique_6364ed0fa1c236.02732436",
"Piasa","Paris","562","2022-11-30","","American Design","144","","price realized","15000","20000","20800","Paul Evans","1931","1987","","Skyline - Unique piece","","",""," Enameled steel, plywood and slate ","material_category","Signed and dated 'Paul Evans 72' ","","<strong><br>Description<br></strong>Paul Evans (1931-1987)  Skyline - Unique piece  Coffee table  Enameled steel, plywood and slate  Signed and dated 'Paul Evans 72'  Model created in 1972  H 40,5 × L 101,5 × W 66 cm","66 cm","","","66 cm","","","","","","https://www.piasa.fr/catalog/images/2040/144_1.jpg","https://www.piasa.fr/catalog/images/2040/144_2.jpg","https://www.piasa.fr/catalog/images/2040/144_3.jpg","","","562__Paul_Evans__144_a.jpg","562__Paul_Evans__144_b.jpg","562__Paul_Evans__144_c.jpg","","","https://www.piasa.fr/en/products/paul-evans-1931-1987-skyline-piece-unique_6364ed0fab8cf0.56224594",
"Piasa","Paris","562","2022-11-30","","American Design","145","","price realized","40000","60000","58500","Paul Evans","1931","1987","","Cabinet - Unique piece","","",""," Enameled steel, plywood and slate ","material_category","","","<strong><br>Description<br></strong>Paul Evans (1931-1987)  Cabinet - Unique piece  Enameled steel, plywood and slate  Edited by Directional  Model created circa 1972  H 81,5 × L 185,5 × W 52,5 cm  Bibliography: J. Head, 'Paul Evans Designer  & Sculptor', Ed. Schiffer, Atglen, 2012,  similar model pp. 77,98","52,5 cm","","","52,5 cm","","","","","","https://www.piasa.fr/uploads/paul-evans-1931-1987-cabinet-piece-unique_6364ed0f_92158_637f4182168061.90265281.jpg","https://www.piasa.fr/uploads/paul-evans-1931-1987-cabinet-piece-unique_6364ed0f_110616_637f41821b01f8.18611402.jpg","https://www.piasa.fr/uploads/paul-evans-1931-1987-cabinet-piece-unique_6364ed0f_136180_637f4182213fc7.03952403.jpg","","","562__Paul_Evans__145_a.jpg","562__Paul_Evans__145_b.jpg","562__Paul_Evans__145_c.jpg","","","https://www.piasa.fr/en/products/paul-evans-1931-1987-cabinet-piece-unique_6364ed0fb29785.35376274",
"Piasa","Paris","562","2022-11-30","","American Design","146","","price realized","3000","4000","3250","Paul Evans","1931","1987","","Planter - Unique piece","","",""," Patinated metal ","material_category","","","<strong><br>Description<br></strong>Paul Evans (1931-1987)  Planter - Unique piece  Planter  Patinated metal  Model created circa 1960  H 92 × L 31 × W 31 cm","31 cm","","","31 cm","","","","","","https://www.piasa.fr/catalog/images/2040/146_1.jpg","","","","","562__Paul_Evans__146_a.jpg","","","","","https://www.piasa.fr/en/products/paul-evans-1931-1987-planter-piece-unique_6364ed0fb98c55.82094291",
"Piasa","Paris","562","2022-11-30","","American Design","147","","price realized","8000","12000","10400","Paul Evans","1931","1987","","Fauteuil - Unique piece","","",""," Copper, brass, steel, aluminum and fabric ","material_category","","","<strong><br>Description<br></strong>Paul Evans (1931-1987)  Fauteuil - Unique piece  Copper, brass, steel, aluminum and fabric  Model created in the 1960s  H 81 × L 93 × W 81 cm","81 cm","","","81 cm","","","","","","https://www.piasa.fr/catalog/images/2040/147_1.jpg","https://www.piasa.fr/catalog/images/2040/147_2.jpg","https://www.piasa.fr/catalog/images/2040/147_3.jpg","","","562__Paul_Evans__147_a.jpg","562__Paul_Evans__147_b.jpg","562__Paul_Evans__147_c.jpg","","","https://www.piasa.fr/en/products/paul-evans-1931-1987-fauteuil-piece-unique_6364ed0fbe61c2.73582966",
"Piasa","Paris","562","2022-11-30","","American Design","148","","price realized","5000","7000","0","Jun Kaneko","1942","","","Wall plaque - Unique piece","","","","","","Signed and dated 'Kaneko 2014/9' ","","<strong><br>Description<br></strong>Jun Kaneko (born in 1942)  Wall plaque - Unique piece  Glazed ceramic  Signed and dated 'Kaneko 2014/9'  Model created in 2014  H 56 × L 75 × W 6 cm","6 cm","","","6 cm","","","","","","https://www.piasa.fr/uploads/jun-kaneko-ne-en-1942-plaque-murale-piece-unique_6_549888_6388b4fe864087.38759181.jpg","https://www.piasa.fr/uploads/jun-kaneko-ne-en-1942-plaque-murale-piece-unique_6_571689_6388b4fe8b9313.54756596.jpg","","","","562__Jun_Kaneko__148_a.jpg","562__Jun_Kaneko__148_b.jpg","","","","https://www.piasa.fr/en/products/jun-kaneko-ne-en-1942-plaque-murale-piece-unique_6364ed0fc55f81.29702833",
"Piasa","Paris","562","2022-11-30","","American Design","149","","price realized","5000","7000","7800","Jun Kaneko","1942","","","Wall plaque - Unique piece","","","","","","Signed and dated 'Kaneko 2010' ","","<strong><br>Description<br></strong>Jun Kaneko (born in 1942)  Wall plaque - Unique piece  Glazed ceramic  Signed and dated 'Kaneko 2010'  Model created in 2010  H 56 × L 66 × W 7,5 cm","7,5 cm","","","7,5 cm","","","","","","https://www.piasa.fr/catalog/images/2040/149_1.jpg","https://www.piasa.fr/catalog/images/2040/149_2.jpg","","","","562__Jun_Kaneko__149_a.jpg","562__Jun_Kaneko__149_b.jpg","","","","https://www.piasa.fr/en/products/jun-kaneko-ne-en-1942-plaque-murale-piece-unique_6364ed0fcb9346.45150600",
"Piasa","Paris","562","2022-11-30","","American Design","150","","price realized","5000","7000","20800","Jun Kaneko","1942","","","Wall plaque - Unique piece","","","","","","Signed and dated 'Kaneko 98' ","","<strong><br>Description<br></strong>Jun Kaneko (born in 1942)  Wall plaque - Unique piece  Glazed ceramic  Signed and dated 'Kaneko 98'  Model created in 1998  H 111 × L 28 × W 5 cm","5 cm","","","5 cm","","","","","","https://www.piasa.fr/catalog/images/2040/150_1.jpg","https://www.piasa.fr/catalog/images/2040/150_2.jpg","","","","562__Jun_Kaneko__150_a.jpg","562__Jun_Kaneko__150_b.jpg","","","","https://www.piasa.fr/en/products/jun-kaneko-ne-en-1942-plaque-murale-piece-unique_6364ed0fd25db0.42893688",
"Piasa","Paris","562","2022-11-30","","American Design","151","","price realized","40000","60000","50700","George Nakashima","1905","1990","","Hanging cabinet - Special order","","","","","","","","<strong><br>Description<br></strong>George Nakashima (1905-1990)  Hanging cabinet - Special order  Walnut and pandanus  Model created in 1963  H 37 × L 180 × W 38 cm  Special order for Mr. Stephen Graves,  Bryn Mawr, Pennsylvania, USA  The buyer can be provided with a copy of the original order slip.","38 cm","","","38 cm","","","","","","https://www.piasa.fr/uploads/george-nakashima-1905-1990-cabinet-suspendu-comman_179069_637f41992bb850.17814648.jpg","https://www.piasa.fr/uploads/george-nakashima-1905-1990-cabinet-suspendu-comman_197503_637f4199303879.65631400.jpg","","","","562__George_Nakashima__151_a.jpg","562__George_Nakashima__151_b.jpg","","","","https://www.piasa.fr/en/products/george-nakashima-1905-1990-cabinet-suspendu-commande-speciale_6364ed0fd8c816.74136784",
"Piasa","Paris","562","2022-11-30","","American Design","152","","price realized","30000","40000","53300","Mira Nakashima","1942","","","Sideboard - Unique piece","","","","","","Signed and dated 'Mira Nakashima October 11th ","","<strong><br>Description<br></strong>Mira Nakashima (born in 1942)  Sideboard - Unique piece  Walnut  Model created in 2006  Signed and dated 'Mira Nakashima October 11th  2006'  H 61,5 × 390 cm × W 53 cm  H 61,5 × L 195 × W 53 cm (each element)","53 cm","","","53 cm","","","","","","https://www.piasa.fr/catalog/images/2040/152_1.jpg","https://www.piasa.fr/catalog/images/2040/152_2.jpg","https://www.piasa.fr/catalog/images/2040/152_3.jpg","https://www.piasa.fr/catalog/images/2040/152_4.jpg","https://www.piasa.fr/catalog/images/2040/152_5.jpg","562__Mira_Nakashima__152_a.jpg","562__Mira_Nakashima__152_b.jpg","562__Mira_Nakashima__152_c.jpg","562__Mira_Nakashima__152_d.jpg","562__Mira_Nakashima__152_e.jpg","https://www.piasa.fr/en/products/mira-nakashima-nee-en-1942-enfilade-piece-unique_6364ed0fdf0ce6.65394770",
"Piasa","Paris","562","2022-11-30","","American Design","153","","price realized","15000","20000","19500","George Nakashima","1905","1990","","Cabinet - Unique piece","","","","","","","","<strong><br>Description<br></strong>George Nakashima (1905-1990)  Cabinet - Unique piece  Walnut  Model created circa 1970  H 81 × L 183 × W 51 cm","51 cm","","","51 cm","","","","","","https://www.piasa.fr/catalog/images/2040/153_1.jpg","https://www.piasa.fr/catalog/images/2040/153_2.jpg","","","","562__George_Nakashima__153_a.jpg","562__George_Nakashima__153_b.jpg","","","","https://www.piasa.fr/en/products/george-nakashima-1905-1990-cabinet-piece-unique_6364ed0fe77158.19878212",
"Piasa","Paris","562","2022-11-30","","American Design","154","","price realized","25000","35000","0","George Nakashima","1905","1990","","Cabinet - Special order","","","","","","","","<strong><br>Description<br></strong>George Nakashima (1905-1990)  Cabinet - Special order  Walnut, English walnut burl and  Eastern American black walnut  Model created in 1968  H 78 × L 61 × W 48 cm  Special order for Mr. Robert L. Hart,  New Hyde Park, New York, USA  The buyer can be provided with a copy of the drawing and of the original order slip.","48 cm","","","48 cm","","","","","","https://www.piasa.fr/catalog/images/2040/154_1.jpg","https://www.piasa.fr/catalog/images/2040/154_2.jpg","https://www.piasa.fr/catalog/images/2040/154_3.jpg","https://www.piasa.fr/catalog/images/2040/154_4.jpg","","562__George_Nakashima__154_a.jpg","562__George_Nakashima__154_b.jpg","562__George_Nakashima__154_c.jpg","562__George_Nakashima__154_d.jpg","","https://www.piasa.fr/en/products/george-nakashima-1905-1990-cabinet-commande-speciale_6364ed0fed3ab4.59041017",
"Piasa","Paris","562","2022-11-30","","American Design","155","","price realized","12000","18000","0","George Nakashima","1905","1990","","Sofa - Special order","","","","","","","","<strong><br>Description<br></strong>George Nakashima (1905-1990)  Sofa - Special order  Walnut and fabric  Model created in 1960  H 79 × L 198 × W 86 cm  Special order for Dr. Joseph N. Debbas,  Media, Pennsylvania, USA  The buyer can be provided with a copy of the original order slip.","86 cm","","","86 cm","","","","","","https://www.piasa.fr/catalog/images/2040/155_1.jpg","https://www.piasa.fr/catalog/images/2040/155_2.jpg","https://www.piasa.fr/catalog/images/2040/155_3.jpg","https://www.piasa.fr/catalog/images/2040/155_4.jpg","https://www.piasa.fr/catalog/images/2040/155_5.jpg","562__George_Nakashima__155_a.jpg","562__George_Nakashima__155_b.jpg","562__George_Nakashima__155_c.jpg","562__George_Nakashima__155_d.jpg","562__George_Nakashima__155_e.jpg","https://www.piasa.fr/en/products/george-nakashima-1905-1990-canape-commande-speciale_6364ed1000c438.06468471",
"Piasa","Paris","562","2022-11-30","","American Design","156","","price realized","30000","40000","48100","George Nakashima","1905","1990","","Minguren ll - Unique piece","","",""," a woodworker's reflections', Ed. Kodansha, ","material_category","Signed and dated 'George Nakashima Nov 12 ","","<strong><br>Description<br></strong>George Nakashima (1905-1990)  Minguren ll - Unique piece  Dining table  Walnut  Signed and dated 'George Nakashima Nov 12  1988'  Model created in 1988  H 72 × L 183 × W 105,5 cm  Bibliography: G. Nakashima,'The soul of a tree,  a woodworker's reflections', Ed. Kodansha,  New York, 2011, drawing p. 189","105,5 cm","","","105,5 cm","","","","","","https://www.piasa.fr/uploads/george-nakashima-1905-1990-minguren-ll-piece-uniqu_128195_63847fd31f4ca7.32097443.jpg","https://www.piasa.fr/uploads/george-nakashima-1905-1990-minguren-ll-piece-uniqu_147313_63847fd323f795.59792396.jpg","https://www.piasa.fr/uploads/691336_63847fd1a8c998.26196443.jpg","","","562__George_Nakashima__156_a.jpg","562__George_Nakashima__156_b.jpg","562__George_Nakashima__156_c.jpg","","","https://www.piasa.fr/en/products/george-nakashima-1905-1990-minguren-ll-piece-unique_6364ed1008bab5.06964436",
"Piasa","Paris","562","2022-11-30","","American Design","157","","price realized","20000","30000","0","George Nakashima","1905","1990","","Set of two chairs and a side table","","",""," a woodworker's reflections', Ed. Kodansha, ","material_category","Dated and signed 'George Nakashima June 1983' ","","<strong><br>Description<br></strong>George Nakashima (1905-1990)  Set of two chairs and a side table  Special order  Walnut  Model created in 1983  Dated and signed 'George Nakashima June 1983'  and bears the purchaser’s name beneath the seating  H 54 × L 84 × W 48 cm (table)    28    H 67 × L 50 × W 42 cm (chairs)  Special order for Mr. Murakami,  New Jersey, USA.  Bibliography: G. Nakashima, 'The soul of a tree,  a woodworker's reflections', Ed. Kodansha,  New York, 2011, similar model p. 203  The buyer can be provided with an authentication letter from Mrs. Mira Nakashima.","42 cm","","","42 cm","","","","","","https://www.piasa.fr/catalog/images/2040/157_1.jpg","https://www.piasa.fr/catalog/images/2040/157_2.jpg","","","","562__George_Nakashima__157_a.jpg","562__George_Nakashima__157_b.jpg","","","","https://www.piasa.fr/en/products/george-nakashima-1905-1990-ensemble-de-deux-chaises-et-une-table-dappoint_6364ed100ed121.26199958",
"Piasa","Paris","562","2022-11-30","","American Design","158","","price realized","8000","12000","0","George Nakashima","1990","","","Origins collection - Model ","","","","","","","","<strong><br>Description<br></strong>George Nakashima (1905-1990)  Origins collection - Model 269-W, 'Sundra'  Gateleg table  Walnut  Edited by Widdicomb  Model created in 1958  Inscribed 'Sundra' and partially legible stamp, 'George  Nakashima', beneath the tabletop  H 74 × L 187 × W 96 cm (closed)  H 74 × L 187 × W 163 cm (open)","163 cm","","","163 cm","","","","","","https://www.piasa.fr/catalog/images/2040/158_1.jpg","https://www.piasa.fr/catalog/images/2040/158_2.jpg","https://www.piasa.fr/catalog/images/2040/158_3.jpg","","","562__George_Nakashima__158_a.jpg","562__George_Nakashima__158_b.jpg","562__George_Nakashima__158_c.jpg","","","https://www.piasa.fr/en/products/george-nakashima-1905-1990-collection-origins-modele-269-w-dit-sundra_6364ed1014ada9.47284154",
"Piasa","Paris","562","2022-11-30","","American Design","159","","price realized","8000","12000","9750","George Nakashima","1990","","","Origins collection - Model ","","","","","","","","<strong><br>Description<br></strong>George Nakashima (1905-1990)  Origins collection - Model 206  Suite de six chairs  Walnut and fabric  Edited by Widdicomb  Model created circa 1959  H 92 × L 47 × W 72 cm","72 cm","","","72 cm","","","","","","https://www.piasa.fr/catalog/images/2040/159_1.jpg","","","","","562__George_Nakashima__159_a.jpg","","","","","https://www.piasa.fr/en/products/george-nakashima-1905-1990-collection-origins-modele-206_6364ed101bc3d8.13150868",
"Piasa","Paris","562","2022-11-30","","American Design","160","","price realized","4000","6000","0","George Nakashima","1905","1990","","Coffee table - Special order","","","","","","","","<strong><br>Description<br></strong>George Nakashima (1905-1990)  Coffee table - Special order  Walnut  Model created in 1959  H 35,5 × L 74,5 × W 35,5 cm  Special order for Mr. Fellman, New-Hope,  Pennsylvania, USA  The buyer can be provided with a copy of the original order slip.","35,5 cm","","","35,5 cm","","","","","","https://www.piasa.fr/catalog/images/2040/160_1.jpg","","","","","562__George_Nakashima__160_a.jpg","","","","","https://www.piasa.fr/en/products/george-nakashima-1905-1990-table-basse-commande-speciale_6364ed10214e63.28819101",
"Piasa","Paris","562","2022-11-30","","American Design","161","","price realized","12000","18000","0","George Nakashima","1905","1990","","Model Q bench - Special order","","",""," A Woodworker's Reflections', Ed. Kodansha ","material_category","","","<strong><br>Description<br></strong>George Nakashima (1905-1990)  Model Q bench - Special order  Bench  Walnut  Model created in 1959  H 33 × L 213,5 × W 49,5 cm  Special order for Mr. Fellman, New-Hope,  Pennsylvania, USA  The buyer can be provided with a copy of the original order slip.  Bibliography:  - Nakashima George, 'The Soul of a Tree,  A Woodworker's Reflections', Ed. Kodansha    29  International, Tokyo, 1981, similar model p. 151  - J. Lovine & T. Merrill, 'Modern Americana:  Studio Furniture from High Craft to High Glam',  Ed. Rizzoli, 2008, similar model p. 128","49,5 cm","","","49,5 cm","","","","","","https://www.piasa.fr/catalog/images/2040/161_1.jpg","https://www.piasa.fr/catalog/images/2040/161_2.jpg","","","","562__George_Nakashima__161_a.jpg","562__George_Nakashima__161_b.jpg","","","","https://www.piasa.fr/en/products/george-nakashima-1905-1990-modele-q-bench-commande-speciale_6364ed1026a622.45684611",
"Piasa","Paris","562","2022-11-30","","American Design","162","","price realized","4000","6000","0","Isamu Noguchi","1988","","","Akari series - Model L","","",""," Washi paper, bamboo and lacquered metal ","material_category","","","<strong><br>Description<br></strong>Isamu Noguchi (1904-1988)  Akari series - Model L3  Suspension  Washi paper, bamboo and lacquered metal  Edited by Ozeki & Co  ‘Sun and Moon’ ideogram  Model created in 1976  H 110 × L 60 × W 58 cm","58 cm","","","58 cm","","","","","","https://www.piasa.fr/catalog/images/2040/162_1.jpg","","","","","562__Isamu_Noguchi__162_a.jpg","","","","","https://www.piasa.fr/en/products/isamu-noguchi-1904-1988-serie-akari-modele-l3_6364ed102d1172.79736836",
"Piasa","Paris","562","2022-11-30","","American Design","163","","price realized","12000","18000","0","George Nakashima","1905","1990","","Bench - Special order","","","","","","","","<strong><br>Description<br></strong>George Nakashima (1905-1990)  Bench - Special order  Walnut and white walnut  Model created in 1968  H 87,5 × L 190,5 × W 61 cm  Special order for Mrs. Frank Lee,  Willingboro, New Jersey, USA  The buyer can be provided with a copy of the original order slip.","61 cm","","","61 cm","","","","","","https://www.piasa.fr/catalog/images/2040/163_1.jpg","https://www.piasa.fr/catalog/images/2040/163_2.jpg","","","","562__George_Nakashima__163_a.jpg","562__George_Nakashima__163_b.jpg","","","","https://www.piasa.fr/en/products/george-nakashima-1905-1990-banquette-commande-speciale_6364ed103225f1.02808180",
